Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Bad Boys for Life,"$419,074,646","$204,417,855",51.2%,"$214,656,791"
2,Sonic the Hedgehog,"$306,766,470","$146,066,470",52.4%,"$160,700,000"
3,Dolittle,"$223,343,452","$77,047,065",65.5%,"$146,296,387"
4,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",58.3%,"$117,700,000"
5,The Invisible Man,"$124,889,646","$64,914,050",48%,"$59,975,596"
6,The Gentlemen,"$114,996,853","$36,296,853",68.4%,"$78,700,000"
7,The Call of the Wild,"$107,604,626","$62,342,368",42.1%,"$45,262,258"
8,The Grudge,"$49,511,319","$21,221,803",57.1%,"$28,289,516"
9,Fantasy Island,"$47,315,959","$26,441,782",44.1%,"$20,874,177"
10,Underwater,"$40,882,928","$17,291,078",57.7%,"$23,591,850"
11,Like a Boss,"$29,753,143","$22,169,514",25.5%,"$7,583,629"
12,Bloodshot,"$28,976,557","$10,021,787",65.4%,"$18,954,770"
13,Emma.,"$25,178,091","$10,055,355",60.1%,"$15,122,736"
14,Gretel & Hansel,"$21,288,630","$15,347,654",27.9%,"$5,940,976"
15,Brahms: The Boy II,"$20,311,536","$12,611,536",37.9%,"$7,700,000"
16,The Turning,"$18,592,707","$15,472,775",16.8%,"$3,119,932"
17,The Way Back,"$14,690,514","$13,590,514",7.5%,"$1,100,000"
18,La Belle Époque,"$13,768,586",-,100%,"$13,768,586"
19,I Still Believe,"$10,709,714","$9,868,521",7.9%,"$841,193"
20,The Hunt,"$6,914,983","$5,812,500",15.9%,"$1,102,483"
21,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",52.8%,"$3,321,664"
22,The Rhythm Section,"$5,989,583","$5,437,971",9.2%,"$551,612"
23,My Spy,"$4,949,131",-,100%,"$4,949,131"
24,Trolls World Tour,"$4,014,540",-,100%,"$4,014,540"
25,The Last Full Measure,"$3,095,779","$2,949,212",4.7%,"$146,567"
26,The Lodge,"$2,681,784","$1,666,564",37.9%,"$1,015,220"
27,The High Note,"$723,732",-,100%,"$723,732"
28,Blind Eyes Opened,"$234,505","$234,505",-,-
29,The King of Staten Island,"$155,504",-,100%,"$155,504"
30,Burden,"$154,104","$139,270",9.6%,"$14,834"
31,"14 Days, 12 Nights","$122,806","$122,530",0.2%,$276
32,First Cow,"$101,068","$101,068",-,-
